Total_epoch:1000
link:603 Epoch:0417cost =0.039489072; MAPE0.999986664
link:603 Epoch:0418cost =0.040025897; MAPE0.999986745
link:603 Epoch:0419cost =0.039199360; MAPE0.999986823
link:603 Epoch:0420cost =0.039220445; MAPE0.999986819
link:603 Epoch:0421cost =0.039215639; MAPE0.999986554
link:603 Epoch:0422cost =0.039312936; MAPE0.999986635
link:603 Epoch:0423cost =0.039738141; MAPE0.999986637
link:603 Epoch:0424cost =0.039313350; MAPE0.999986430
link:603 Epoch:0425cost =0.039694980; MAPE0.999986431
link:603 Epoch:0426cost =0.039389692; MAPE0.999986445
link:603 Epoch:0427cost =0.040114738; MAPE0.999986094
link:603 Epoch:0428cost =0.039259322; MAPE0.999986137
link:603 Epoch:0429cost =0.039370898; MAPE0.999986207
link:603 Epoch:0430cost =0.039720718; MAPE0.999986162
link:603 Epoch:0431cost =0.039141197; MAPE0.999986085
link:603 Epoch:0432cost =0.039391875; MAPE0.999985990
link:603 Epoch:0433cost =0.039660368; MAPE0.999985925
link:603 Epoch:0434cost =0.040417060; MAPE0.999985871
link:603 Epoch:0435cost =0.039381027; MAPE0.999985823
link:603 Epoch:0436cost =0.039345216; MAPE0.999985648
link:603 Epoch:0437cost =0.039953839; MAPE0.999985610
link:603 Epoch:0438cost =0.039063934; MAPE0.999985437
link:603 Epoch:0439cost =0.039143451; MAPE0.999985468
link:603 Epoch:0440cost =0.039257314; MAPE0.999984996
link:603 Epoch:0441cost =0.039649155; MAPE0.999984947
link:603 Epoch:0442cost =0.040231124; MAPE0.999985064
link:603 Epoch:0443cost =0.039295815; MAPE0.999985138
link:603 Epoch:0444cost =0.039420567; MAPE0.999984945
link:603 Epoch:0445cost =0.040122669; MAPE0.999984578
link:603 Epoch:0446cost =0.039387312; MAPE0.999984548
link:603 Epoch:0447cost =0.039312992; MAPE0.999984558
link:603 Epoch:0448cost =0.039183695; MAPE0.999984594
link:603 Epoch:0449cost =0.039244149; MAPE0.999984246
link:603 Epoch:0450cost =0.039923076; MAPE0.999984320
link:603 Epoch:0451cost =0.039177194; MAPE0.999984200
link:603 Epoch:0452cost =0.039573688; MAPE0.999983886
link:603 Epoch:0453cost =0.039769646; MAPE0.999983869
link:603 Epoch:0454cost =0.040398132; MAPE0.999983963
link:603 Epoch:0455cost =0.039565556; MAPE0.999983906
link:603 Epoch:0456cost =0.039214592; MAPE0.999983715
link:603 Epoch:0457cost =0.039669491; MAPE0.999983512
link:603 Epoch:0458cost =0.039369624; MAPE0.999983505
link:603 Epoch:0459cost =0.039676547; MAPE0.999983443
link:603 Epoch:0460cost =0.039213117; MAPE0.999983270
link:603 Epoch:0461cost =0.039375745; MAPE0.999983309
